,Title,Average Rating,Director,Writer,Metascore,Cast,Release Date,Country of Origin,Languages,Budget,Worldwide Gross,Runtime
147,Talaye sorkh,7.4,Jafar Panahi,Abbas Kiarostami,82.0,"Hossain Emadeddin, Kamyar Sheisi, Azita Rayeji, Shahram Vaziri, Ehsan Amani, Pourang Nakhael, Kaveh Najmabadi, Saber Safael, Yadollah Samadian, Ramin Rastad, Behnaz Houri, Mehran Rajabi, Yousef Panahi, Kova Tilavpur","September 12, 2003 (United Kingdom)",Iran,Persian,,"$400,768",1 hour 37 minutes
148,Aankhen,7.4,Vipul Amrutlal Shah,"Shobhna Desai, Aatish Kapadia, Vipul Amrutlal Shah",,"Amitabh Bachchan, Akshay Kumar, Sushmita Sen, Arjun Rampal, Paresh Rawal, Aditya Pancholi, Bipasha Basu, Kashmira Shah, Ajit Vachani, Arun Bali, Dayashankar Pandey, Paresh Ganatra, Depesh Shah, Malvika Singh, Ashok Banthia, Pradeep Tawte, Amit Singh Thakur, Prakash Bharadwaj","April 5, 2002 (India)",India,Hindi,,,2 hours 45 minutes
149,Kler,7.4,Wojciech Smarzowski,"Wojciech Rzehak, Wojciech Smarzowski",,"Arkadiusz Jakubik, Robert Wieckiewicz, Jacek Braciak, Joanna Kulig, Janusz Gajos, Adrian Zaremba, Magdalena Celówna-Janikowska, Ignacy Klim, Michal Gadomski, Katarzyna Chlebny, Iwona Bielska, Bartosz Trybon, Kamil Panas, Robert Wabich, Sebastian Perdek, Oleh Kyryliv, Roman Skorovskiy, Richard Pitrimov","September 28, 2018 (Poland)",Poland,"Polish, Italian, Czech",,"$30,114,115",2 hours 13 minutes
150,Jalsa,7.4,Trivikram Srinivas,Trivikram Srinivas,,"Pawan Kalyan, Ileana D'Cruz, Mukesh Rishi, Kamalinee Mukherjee, Prakash Raj, Tanikella Bharani, Brahmanandam, Sunil, Mohammad Ali, Parvati Melton, Dharmavarapu Subramanyam, Sivaji, Uttej, Mahesh Babu, Ravi Varma, Bianca Desai, Makrand Deshpande, Srinivas Govind","April 2, 2008 (India)",India,Telugu,"₹450,000,000 (estimated)",,2 hours 41 minutes
151,V luchakh solntsa,7.4,Vitaliy Manskiy,Vitaliy Manskiy,81.0,"Lee Zin-Mi, Yu-Yong, Hye-Yong, Oh-Gyong, Choi Song-min, Lim Soo-Yong, Su-Yong","April 12, 2016 (Latvia)","Russia, Germany, Czech Republic, Latvia",Korean,"€390,000 (estimated)","$305,993",1 hour 46 minutes
152,"Boku wa asu, kinou no kimi to dêto suru",7.4,Takahiro Miki,"Takafumi Nanatsuki, Tomoko Yoshida",,"Sôta Fukushi, Nana Komatsu, Masahiro Higashide, Yuki Yamada, Kaya Kiyohara, Akira Ôtaka, Yoshiko Miyazaki","December 17, 2016 (Japan)",Japan,Japanese,,"$14,483,358",1 hour 51 minutes
153,The Rifleman of the Voroshilov Regiment,7.4,Stanislav Govorukhin,"Aleksandr Borodyanskiy, Yuri Polyakov, Stanislav Govorukhin",,"Mikhail Ulyanov, Anna Sinyakina, Aleksandr Porokhovshchikov, Irina Rozanova, Marat Basharov, Aleksey Makarov, Ilya Drevnov, Vladislav Galkin, Vladimir Semago, Vyacheslav Golodnov, Georgiy Martirosyan, Sergey Aprelskiy, D. Astakhov, Andrey Bestuzhev, V. Dvoinikov, Valeriy Fedotov, Sergey Garmash, Aleksei Goltsov","April 19, 1999 (Russia)",Russia,Russian,,,1 hour 35 minutes
154,In film nist,7.4,"Mojtaba Mirtahmasb, Jafar Panahi",Jafar Panahi,90.0,"Jafar Panahi, Igi, Mrs. Gheirat, Mojtaba Mirtahmasb, Rakhsan, Sima, Micky, Hasan","September 28, 2011 (France)",Iran,Persian,,"$88,758",1 hour 15 minutes
155,Oktyabr,7.4,"Grigoriy Aleksandrov, Sergei Eisenstein","Sergei Eisenstein, Grigoriy Aleksandrov, John Reed",,"Boris Livanov, Nikolay Popov, Vasili Nikandrov, Layaschenko, Vladimir Antonov-Ovseenko, Chibisov, Mikholyev, Nikolai Podvoisky, Smelsky, Eduard Tisse","September 24, 1928 (Sweden)",Soviet Union,,,,2 hours 22 minutes
156,Wo de shaonu shidai,7.4,Yu Shan Chen,Yung-Ting Tseng,,"Vivian Sung, Talu Wang, Dino Lee, Dewi Chien, Berry Wen-i Kuo, Yi-Chen Tsai, Alina Cheng, Ian Chen, He-Hsuan Lin, Li-Tung Chang, Kristy Cha Ray Chu, Hsin-Ling Chung, Chieh-Hui Hsu, Wei-hsun Na, Chung-Heng Chu, Shiau-Shiang Lee, Andy Lau, Joe Chen","October 15, 2015 (Hong Kong)",Taiwan,"Mandarin, Min Nan",,"$83,933,510",2 hours 14 minutes
157,Limonata,7.4,Ali Atay,"Ali Atay, Ertan Saban",,"Ertan Saban, Serkan Keskin, Funda Eryigit, Luran Ahmeti, Bedija Begovska, Ciguli, Zekir Sipahi, Selahattin Bilal, Deniz Abdula, Deniz Ali, Osman Ali, Yigit Arsu, Salaetin Bilal, Radojka Dimevska, Fevzi Gökçek, Mustafa Jashcirovski, Mehmet Kiliç, Tahsin Lale","April 24, 2015 (Turkey)",Turkey,Turkish,,"$328,039",1 hour 50 minutes
158,Shena-ye Parvaneh,7.4,Mohammad Kart,"Hosein Amiri Doumari, Pedram Amiri, Mohammad Kart",,"Javad Ezati, Tannaz Tabatabaei, Amir Aghaee, Pantea Bahram, Ali Shadman, Nahid Moslemi, Mehdi Hosseininia, Iman Safa, Mahlagha Bagheri, Nader Shahsavari, Alireza Davoudnejad, Behrouz Panahandeh, Aban Askari, Roohollah Mehrabi, Niloufar Shahfari, Mohammad Motahari Pour, Mehrdad Khani, Ladan Zhaveh Vand","June 24, 2020 (Iran)",Iran,Persian,,,2 hours
159,Particle Fever,7.4,Mark Levinson,"David Kaplan, Fabiola Gianotti, Sherwood Boehlert",87.0,"David Kaplan, Fabiola Gianotti, Sherwood Boehlert, Joel Hefley, Savas Dimopoulos, Nima Arkani-Hamed, Monica Dunford, Martin Aleksa, Lyn Evans, Mike Lamont, Peter Jenni, Riccardo Barbieri, Peter Higgs, Rolf-Dieter Heuer, Asmina Arvanitaki, Brooke Baldwin, Ashleigh Banfield, James Beacham","September 3, 2014 (Netherlands)",United States,English,,"$869,838",1 hour 39 minutes
160,Neredesin Firuze,7.4,Ezel Akay,"Levent Kazak, Özcan Deniz",,"Haluk Bilginer, Özcan Deniz, Demet Akbag, Cem Özer, Sebnem Dönmez, Ruhi Sari, Ragip Savas, Ugur Uludag, Janset, Güner Özkul, Ahu Türkpençe, Riza Sönmez, Kemal Gökhan Gürses, Zeynep Eronat, Murat Akkoyunlu, Ata Demirer, Erol Büyükburç, Bora Ayanoglu","February 20, 2004 (Turkey)",Turkey,Turkish,"$1,500,000 (estimated)","$4,904,496",2 hours 8 minutes
161,Atanarjuat,7.4,Zacharias Kunuk,"Paul Apak Angilirq, Norman Cohn, Zacharias Kunuk",91.0,"Natar Ungalaaq, Sylvia Ivalu, Peter-Henry Arnatsiaq, Lucy Tulugarjuk, Madeline Ivalu, Pauloosie Qulitalik, Eugene Ipkarnak, Pakak Innuksuk, Neeve Irngaut, Abraham Ulayuruluk, Apayata Kotierk, Mary Qulitalik, Luke Taqqaugaq, Alex Uttak, Eric Nutarariaq, Stephen Qrunnut, Pipily Akkitirq, Mary Angutautuk","April 12, 2002 (Canada)",Canada,Inuktitut,"CA$1,960,000 (estimated)","$5,204,281",2 hours 52 minutes
162,Janis: Little Girl Blue,7.4,Amy Berg,Amy Berg,74.0,"Cat Power, Janis Joplin, Karleen Bennett, Laura Joplin, Michael Joplin, J. Dave Moriaty, Jack Smith, Powell St. John, Jae Whitaker, Travis Rivers, Dave Getz, Sam Andrew, David Dalton, Bob Weir, Otis Redding, Peter Albin, Clive Davis, Julius Karpen","December 15, 2015 (United States)",United States,English,,"$1,683,166",1 hour 43 minutes
163,Himalaya - l'enfance d'un chef,7.4,"Eric Valli, Michel Debats","Nathalie Azoulai, Olivier Dazat, Louis Gardel",73.0,"Thilen Lhondup, Gurgon Kyap, Lhakpa Tsamchoe, Karma Wangel, Karma Tensing, Labrang Tundup, Jampa Kalsang Tamang, Tsering Dorjee, Rapke Gurung, Pemba Bika, Karma Chhewang, Tenzen Charka, Yangzom, Gyalsen Gurung, Phuti Bika, Sangmo Gurung, Karma Angbu Gurung","December 15, 1999 (France)","France, Switzerland, United Kingdom, Nepal",Tibetan,,"$21,069,306",1 hour 48 minutes
164,Qayamat Se Qayamat Tak,7.4,Mansoor Khan,Nasir Hussain,,"Aamir Khan, Juhi Chawla, Goga Kapoor, Dalip Tahil, Ravindra Kapoor, Asha Sharma, Alok Nath, Raj Zutshi, Shehnaz Kudia, Charushila, Beena Banerjee, Reema Lagoo, Nandita Thakur, Ahmed Khan, Feroz Khan, Ajit Vachani, Yunus Parvez, Viju Khote","April 29, 1988 (India)",India,"Hindi, Urdu",,,2 hours 42 minutes
165,Behzat Ç.: An Ankara Policeman,7.4,Serdar Akar,"Ercan Mehmet Erdem, Emrah Serbes",,"Erdal Besikçioglu, Sanem Çelik, Nejat Isler, Fatih Artman, Inanç Konukçu, Berkan Sal, Seda Bakan, Eray Eserol, Serenay Sarikaya, Asli Tandogan, Sadi Celil Cengiz, Riza Kocaoglu, Tugrul Tulek, Aliye Esra Salebci, Ayça Eren, Selahattin Bel, ibrahim Sevinc, Ekim Magden","November 1, 2013 (Turkey)",Turkey,Turkish,,"$2,089,459",1 hour 37 minutes
166,Çogunluk,7.4,Seren Yüce,Seren Yüce,,"Bartu Küçükçaglayan, Settar Tanriögen, Nihal G. Koldas, Esme Madra, Erkan Can, Ilhan Hacifazlioglu, Cem Zeynel Kiliç, Feridun Koç, Mehmet Ünal, Guzide Balci, Okan Avci","October 15, 2010 (Turkey)",Turkey,Turkish,,"$144,698",1 hour 51 minutes
167,Jhund,7.4,Nagraj Manjule,Nagraj Manjule,,"Amitabh Bachchan, Ankush Gedam, Babu Kshatriya, Jerico Robert, Rajiya Kazi, Kartik Uikey, Sayli Patil, Allen Patrick, Jaspreet Singh Randhawa, Saurabh Abhaynkar, Angel Anthony, Yogesh Uikey, Vishakha Uikey, Niraj Jamgade, Sachin Meshram, Saurabh Sharma, Nikhil Ganvir, Chriag Sharma","March 4, 2022 (India)",India,Hindi,,"$88,637",2 hours 56 minutes
168,Howze Naghashi,7.4,Maziar Miri,Hamed Mohammadi,,"Seyed Mahmoud Chaharsoughi, Siamak Ehsaii, Sepahrad Farzami, Shahab Hosseini, Negar Javaherian, Elham Korda, Efat Rasolinezhad, Fereshteh Sadre Orafaiy, Hojjat Hassanpour Sargaroui, Asghar Shariati","March 13, 2013 (Iran)",Iran,Persian,,,1 hour 32 minutes
169,À nous la liberté,7.4,René Clair,René Clair,,"Raymond Cordy, Henri Marchand, Rolla France, Paul Ollivier, Jacques Shelly, André Michaud, Germaine Aussey, Léon Lorin, William Burke, Vincent Hyspa, Albert Broquin, Robert Charlet, Léon Courtois, Alexander D'Arcy, Marguerite de Morlaye, Ritou Lancyle, Maximilienne, Eugène Stuber","December 18, 1931 (France)",France,French,,,1 hour 23 minutes
170,James,7.4,Chethan Kumar,Chethan Kumar,,"Puneeth Rajkumar, Priya Anand, Meka Srikanth, Anu Prabhakar, R. Sarathkumar, Madhusudhan Rao, Mukesh Rishi, Adithya Menon, Rangayana Raghu, Avinash, Sadhu Kokila, Thilak Shekar, Chikkanna, Suchendra Prasad, Padmaja Rao, Ketan Karande, John Kokken, Raghavendra Rajkumar","March 17, 2022 (India)",India,Kannada,"₹30,000,000 (estimated)","$39,232",2 hours 29 minutes
171,Legenda No. 17,7.4,Nikolay Lebedev,"Nikolay Kulikov, Nikolay Lebedev, Mikhail Mestetskiy",,"Danila Kozlovskiy, Oleg Menshikov, Svetlana Ivanova, Vladimir Menshov, Aleksandr Lobanov, Sergey Genkin, Roman Madyanov, Aleksandr Yakovlev, Alejandra Grepi, Boris Shcherbakov, Darya Ekamasova, Javier Alcina, Daniel Olbrychski, Valentin Smirnitskiy, Nina Usatova, Yuriy Berkun, Artyom Fedotov, Timur Efremenkov","April 18, 2013 (Russia)",Russia,Russian,"€10,000,000 (estimated)","$16,096,860",2 hours 14 minutes
172,Alf Mabrook,7.4,Ahmad Nader Galal,"Khaled Diab, Mohamed Diab",,"Ahmed Helmy, Laila Ezz El Arab, Mahmood El-Fishawi, Muhammad Farrag, Sarah Abdulrahman, Rahmah Hasan, Amir Salah, Hani El-Sabbagh, Musa Abbas, Ahmad Abdulmunem, Midhat Abu-Saif, Aminah Ali, Mohamed Almanadely, Hamad Almutaani, Ahmad Asaker, Hossam El Din, Omar Fouad El Mohandes, Wael El-Awni","June 15, 2009 (Egypt)",Egypt,Arabic,,"$1,147,807",1 hour 55 minutes
173,Dirty Wars,7.4,Rick Rowley,"David Riker, Jeremy Scahill",76.0,"Jeremy Scahill, Nasser Al Aulaqi, Saleha Al Aulaqi, Muqbal Al Kazemi, Abdul Rahman Barman, Saleh Bin Fareed, Andrew Exum, Abdul Ghafoor, Philip Giraldi, Matthew Hoh, Patrick Lang, John McCain, William McRaven, Emile Nakhleh, Malcolm Nance, Barack Obama, Mohamed Qanyare, Mohammed Sabir","October 18, 2013 (Spain)",United States,"English, Pashtu, Somali, Dari, Arabic",,"$416,853",1 hour 27 minutes
174,TPB AFK: The Pirate Bay Away from Keyboard,7.4,Simon Klose,"Gottfrid Svartholm, Peter Sunde, Fredrik Neij",,"Gottfrid Svartholm, Peter Sunde, Fredrik Neij, Peter Althin, Anna, Fanny, Carl Lundström, Jonas Nilsson, Tomas Norström, Henrik Pontén, Rasmus, André Rickardsson, Håkan Roswall, Ola Salomonsson, Per E. Samuelsson, Per Sundin, Tobias, Monique Wadsted","February 8, 2013 (Sweden)","Sweden, Denmark, Norway, United Kingdom, Netherlands, Germany","Swedish, English",,,1 hour 25 minutes
175,Project Nim,7.4,James Marsh,Elizabeth Hess,83.0,"Nim Chimpsky, Stephanie LaFarge, Herbert Terrace, Wer LaFarge, Jenny Lee, Laura-Ann Petitto, Bill Tynan, Joyce Butler, Renne Falitz, Bob Ingersoll, Alyce Moore, James Mahoney, Henry Herrmann, Cleveland Amory, Marion Probst, Chris Byrne, Bern Cohen, Reagan Leonard","August 12, 2011 (United Kingdom)","United Kingdom, United States",English,,"$612,839",1 hour 33 minutes
176,The Story of the Weeping Camel,7.4,"Byambasuren Davaa, Luigi Falorni","Byambasuren Davaa, Batbayar Davgadorj, Luigi Falorni",81.0,"Janchiv Ayurzana, Chimed Ohin, Amgaabazar Gonson, Zeveljamz Nyam, Ikhbayar Amgaabazar, Odgerel Ayusch, Enkhbulgan Ikhbayar, Uuganbaatar Ikhbayar, Guntbaatar Ikhbayar, Munkhbayar Lhagvaa, Ariunjargal Adiya, Dogo Roljav, Chuluunzezeg Gur, Botok, Ingen Tenne","January 8, 2004 (Germany)","Germany, Mongolia",Mongolian,,"$9,328,652",1 hour 33 minutes
177,They'll Love Me When I'm Dead,7.4,Morgan Neville,"Alan Cumming, Peter Bogdanovich, Oja Kodar",77.0,"Alan Cumming, Peter Bogdanovich, Oja Kodar, Orson Welles, Steve Ecclesine, R. Michael Stringer, Peter Jason, Larry Jackson, Neil Canton, Joseph McBride, Simon Callow, George Stevens Jr., Michael Ferris, Jonathon Braun, Henry Jaglom, Richard Waltzer, Glenn Jacobson, Cybill Shepherd","November 2, 2018 (United States)",United States,English,,,1 hour 38 minutes
178,Historias mínimas,7.4,Carlos Sorin,Pablo Solarz,76.0,"Javier Lombardo, Antonio Benedicti, Javiera Bravo, Mariela Díaz, Enrique Otranto, María Rosa Cianferoni, María del Carmen Jiménez, Julia Solomonoff, César García Magín, Armando Grimaldi, Mario Splanguño, Rosa Valsecchi, Aníbal Maldonado, Carlos Montero, Laura Vagnoni, Silvia Fontelles, Pedro Andrada, Francis Sandoval","October 24, 2002 (Argentina)","Argentina, Spain",Spanish,,"$1,157,477",1 hour 32 minutes
179,Darwin's Nightmare,7.4,Hubert Sauper,Hubert Sauper,84.0,"Elizabeth 'Eliza' Maganga Nsese, Raphael Tukiko Wagara, Dimond Remtulia, Marcus Nyoni, Sergey Samarets, Jonathan Nathanael, Msafiri 'Safiri' Habat, Dima Rogonov, Vladimir Tarasenko, Jura Biriuchev, Stanislav Ivanchenko, Jakob Maiseli, Lalit Malhotra, Shadard Mkono, Cleopa Kaijage, Cees Goudswaard, Richard Mgamba, Naomie John","January 21, 2005 (Austria)","Austria, Belgium, France, Germany","English, Russian, Swahili",,"$2,981,713",1 hour 47 minutes
180,Sachein,7.4,John Mahendran,"John Mahendran, Mohan Nair",,"Joseph Vijay, Genelia Deshmukh, Bipasha Basu, Vadivelu, Raghuvaran, Santhanam, Bonda Mani, Thaadi Balaji, Mayilsamy, Chaams, Resmi, Linda Arsenio, Mohan Sharma, Thalaivasal Vijay","April 14, 2005 (India)",India,Tamil,,,2 hours 25 minutes
181,Dookudu,7.4,Sreenu Vaitla,"Gopimohan, Sreenu Vaitla, Kona Venkat",,"Mahesh Babu, Samantha Ruth Prabhu, Sonu Sood, Prakash Raj, Kota Srinivasa Rao, Sayaji Shinde, Brahmanandam, Nassar, Tanikella Bharani, Rajeev Kanakala, Chandramohan, Bharat Kumar, M.S. Narayana, Pragathi, Vennela Rama Rao, Surekha Vani, Satya Krishnan, Supreet","September 23, 2011 (India)",India,Telugu,"₹250,000,000 (estimated)",,2 hours 50 minutes
182,"Wer früher stirbt, ist länger tot",7.4,Marcus H. Rosenmüller,"Marcus H. Rosenmüller, Christian Lerch",,"Markus Krojer, Fritz Karl, Jürgen Tonkel, Jule Ronstedt, Saskia Vester, Franz Xaver Brückner, Johann Schuler, Sepp Schauer, Heinz-Josef Braun, Tim Seyfi, Pia Lautenbacher, Klaus Steinbacher, Johanna Bittenbinder, Monika Manz, Alexander Liegl, Stefanie von Poser, Arnd Schimkat, Konstantin Wecker","August 17, 2006 (Germany)",Germany,German,,"$17,685,834",1 hour 44 minutes
183,Treto poluvreme,7.4,Darko Mitrevski,"Darko Mitrevski, Grgur Strujic",,"Katarina Ivanovska, Sasko Kocev, Richard Sammel, Rade Serbedzija, Emil Ruben, Mitko Apostolovski, Verica Nedeska, Igor Angelov, Toni Mihajlovski, Gorast Cvetkovski, Oliver Mitkovski, Ivica Dimitrijevic, Aksel Mehmet, Dimitrija Doksevski, Milan Tocinovski, Igor Stojcevski, Ilija Stefanovski, Bedija Begovska","September 27, 2012 (North Macedonia)","North Macedonia, Czech Republic, United States","Macedonian, German, Ladino, Bulgarian, English, Serbian, Spanish","€2,300,000 (estimated)",,1 hour 53 minutes
184,The Sabarmati Report,7.3,Dheeraj Sarna,"Arjun Bhandegaonkar, Avinash Singh Tomar",,"Vikrant Massey, Raashi Khanna, Ridhi Dogra, Rohit Ameriya, Aryan Ardent, Al Arjun, Prince Kashyap, Sandeep Kumar, Anjali Nadig, Nazneen Patni, Tushar Phulke, Digvijay Purohit, Prince Ali Siddiqui, Hella Stichlmair, Sundip Ved","November 15, 2024 (India)",India,Hindi,,"$41,766",2 hours 7 minutes
185,Juror #2,7.3,Clint Eastwood,Jonathan A. Abrams,73.0,"Nicholas Hoult, Toni Collette, J.K. Simmons, Kiefer Sutherland, Zoey Deutch, Megan Mieduch, Melanie Harrison, Adrienne C. Moore, Drew Scheid, Leslie Bibb, Hedy Nasser, Phil Biedron, Cedric Yarbrough, Bria Brimmer, Chris Messina, Amy Aquino, Gabriel Basso, Chikako Fukuyama","December 20, 2024 (United States)",United States,English,"$30,000,000 (estimated)","$16,374,558",1 hour 54 minutes
186,Alita: Battle Angel,7.3,Robert Rodriguez,"James Cameron, Laeta Kalogridis, Yukito Kishiro",53.0,"Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali, Ed Skrein, Jackie Earle Haley, Keean Johnson, Jorge Lendeborg Jr., Lana Condor, Idara Victor, Jeff Fahey, Eiza González, Derek Mears, Leonard Wu, Racer Rodriguez, Marko Zaror, Rick Yune, Hugo Perez","February 8, 2019 (India)","Japan, Canada, United States","English, Spanish","$170,000,000 (estimated)","$404,980,543",2 hours 2 minutes
187,No Time to Die,7.3,Cary Joji Fukunaga,"Neal Purvis, Robert Wade, Cary Joji Fukunaga",68.0,"Daniel Craig, Ana de Armas, Rami Malek, Léa Seydoux, Lashana Lynch, Ralph Fiennes, Ben Whishaw, Naomie Harris, Rory Kinnear, Jeffrey Wright, Billy Magnussen, Christoph Waltz, David Dencik, Dali Benssalah, Lisa-Dorah Sonnet, Coline Defaud, Mathilde Bourbin, Hugh Dennis","September 30, 2021 (India)","United Kingdom, United States","English, French, Italian, Russian, Spanish, Norwegian, German","$250,000,000 (estimated)","$774,153,007",2 hours 43 minutes
188,The Karate Kid,7.3,John G. Avildsen,Robert Mark Kamen,61.0,"Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove, Randee Heller, William Zabka, Ron Thomas, Rob Garrison, Chad McQueen, Tony O'Dell, Israel Juarbe, William Bassett, Larry B. Scott, Juli Fields, Dana Andersen, Frank Burt Avalon, Jeff Fishman, Ken Daly","July 31, 1985 (India)",United States,"English, Japanese","$8,000,000 (estimated)","$91,133,062",2 hours 6 minutes
189,Troy,7.3,Wolfgang Petersen,"Homer, David Benioff",56.0,"Brad Pitt, Eric Bana, Orlando Bloom, Julian Glover, Brian Cox, Nathan Jones, Adoni Maropis, Jacob Smith, John Shrapnel, Brendan Gleeson, Diane Kruger, Siri Svegler, Lucie Barat, Ken Bones, Manuel Cauchi, Mark Lewis Jones, Garrett Hedlund, Sean Bean","June 25, 2004 (India)","United States, Bulgaria, United Kingdom",English,"$175,000,000 (estimated)","$497,409,852",2 hours 43 minutes
190,Triangle of Sadness,7.3,Ruben Östlund,Ruben Östlund,63.0,"Thobias Thorwid, Harris Dickinson, Charlbi Dean, Jiannis Moustos, Vicki Berlin, Dolly De Leon, Timoleon Gketsos, Alicia Eriksson, Woody Harrelson, Zlatko Buric, Sunnyi Melles, Hanna Oldenburg, Carolina Gynning, Iris Berben, Amanda Walker, Oliver Ford Davies, Ralph Schicha, Henrik Dorsin","September 18, 2022 (Greece)","United Kingdom, Sweden, Germany, Mexico, France, Turkey, Denmark, United States, Switzerland, Greece","English, Swedish, German, French, Greek, Tagalog, Akan","€10,000,000 (estimated)","$26,214,659",2 hours 27 minutes
191,The Last Duel,7.3,Ridley Scott,"Nicole Holofcener, Ben Affleck, Matt Damon",67.0,"Matt Damon, Adam Driver, Jodie Comer, Harriet Walter, Ben Affleck, Alex Lawther, Marton Csokas, William Houston, Oliver Cotton, Aurélien Lorgnier, Nathaniel Parker, Tallulah Haddon, Bryony Hannah, Thomas Silberstein, Adam Goodwin, Ian Pirie, Daniel Horn, Michael McElhatton","October 22, 2021 (India)","United States, United Kingdom","English, German, French, Latin","$100,000,000 (estimated)","$30,552,111",2 hours 32 minutes
192,Kingdom of Heaven,7.3,Ridley Scott,William Monahan,63.0,"Orlando Bloom, Eva Green, Liam Neeson, Martin Hancock, Michael Sheen, Nathalie Cox, Eriq Ebouaney, Jouko Ahola, David Thewlis, Philip Glenister, Bronson Webb, Kevin McKidd, Nikolaj Coster-Waldau, Steven Robertson, Marton Csokas, Alexander Siddig, Velibor Topic, Michael Shaeffer","May 6, 2005 (India)","United Kingdom, Germany, Spain, Morocco, United States, Italy, France","English, Arabic, Latin, Italian, German","$130,000,000 (estimated)","$218,237,071",2 hours 24 minutes
193,The Jungle Book,7.3,Jon Favreau,"Justin Marks, Rudyard Kipling",77.0,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba, Lupita Nyong'o, Scarlett Johansson, Giancarlo Esposito, Christopher Walken, Garry Shandling, Brighton Rose Favreau, Emjay Anthony, Max Favreau, Chloe Hechter, Asher Blinkoff, Knox Gagnon, Sasha Schreiber, Kai Schreiber, Jon Favreau","April 8, 2016 (India)","United Kingdom, United States, New Zealand, France, Canada, India",English,"$175,000,000 (estimated)","$967,724,775",1 hour 46 minutes
194,It,7.3,Andy Muschietti,"Chase Palmer, Cary Joji Fukunaga, Gary Dauberman",69.0,"Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis, Jeremy Ray Taylor, Chosen Jacobs, Jack Dylan Grazer, Wyatt Oleff, Nicholas Hamilton, Jake Sim, Logan Thompson, Owen Teague, Jackson Robert Scott, Stephen Bogaert, Stuart Hughes, Geoffrey Pounsett, Pip Dwyer, Molly Atkinson","September 8, 2017 (India)","United States, Canada","English, Hebrew","$35,000,000 (estimated)","$704,242,888",2 hours 15 minutes
195,Bullet Train,7.3,David Leitch,"Zak Olkewicz, Kôtarô Isaka",49.0,"Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry, Andrew Koji, Hiroyuki Sanada, Michael Shannon, Sandra Bullock, Bad Bunny, Logan Lerman, Zazie Beetz, Masi Oka, Karen Fukuhara, Kevin Akiyoshi Ching, Minchi Murakami, Kaori Taketani, Toshitaka Katsumi, Jim Garrity","August 4, 2022 (India)","United States, Japan","English, Japanese, Spanish, Russian","$85,900,000 (estimated)","$239,268,602",2 hours 7 minutes
196,Tenet,7.3,Christopher Nolan,Christopher Nolan,69.0,"John David Washington, Robert Pattinson, Elizabeth Debicki, Juhan Ulfsak, Jefferson Hall, Ivo Uukkivi, Andrew Howard, Rich Ceraulo Ko, Jonathan Camp, Wes Chatham, Sander Rebane, Martin Donovan, Clémence Poésy, Josh Stewart, Dimple Kapadia, Denzil Smith, Jeremy Theobald, Michael Caine","December 4, 2020 (India)","United States, United Kingdom",English,"$205,000,000 (estimated)","$365,304,105",2 hours 30 minutes
197,X-Men,7.3,Bryan Singer,"Tom DeSanto, Bryan Singer, David Hayter",64.0,"Patrick Stewart, Hugh Jackman, Ian McKellen, Famke Janssen, James Marsden, Halle Berry, Anna Paquin, Tyler Mane, Ray Park, Rebecca Romijn, Bruce Davison, Matthew Sharp, Brett Morris, Rhona Shekter, Kenneth McGregor, Shawn Roberts, Donna Goodhand, John Nelles","October 6, 2000 (India)","United States, Canada",English,"$75,000,000 (estimated)","$296,339,528",1 hour 44 minutes
198,Vettaiyan,7.3,T.J. Gnanavel,T.J. Gnanavel,,"Amitabh Bachchan, Rajinikanth, Fahadh Faasil, Ritika Singh, Manju Warrier, Rana Daggubati, Dushara Vijayan, Abhirami, Rohini, Rao Ramesh, Vasanthi, Kishore Kumar G., Krish Hassan, Ananth Nag, Asal Kolaar, Sabumon Abdusamad, Ramesh Thilak, Alencier Ley Lopez","October 10, 2024 (India)",India,Tamil,,"$2,397,623",2 hours 43 minutes
199,Hereditary,7.3,Ari Aster,Ari Aster,87.0,"Toni Collette, Milly Shapiro, Gabriel Byrne, Alex Wolff, Christy Summerhays, Morgan Lund, Mallory Bechtel, Jake Brown, Harrison Nell, BriAnn Rachele, Heidi Méndez, Moises L. Tovar, Jarrod Phillips, Ann Dowd, Brock McKinney, Zachary Arthur, David Stanley, William 'Bus' Riley","June 22, 2018 (India)",United States,"English, Spanish","$10,000,000 (estimated)","$87,819,062",2 hours 7 minutes
200,Cars,7.3,"John Lasseter, Joe Ranft","John Lasseter, Joe Ranft, Jorgen Klubien",73.0,"Owen Wilson, Bonnie Hunt, Paul Newman, Larry the Cable Guy, Cheech Marin, Tony Shalhoub, Guido Quaroni, Jenifer Lewis, Paul Dooley, Michael Wallis, George Carlin, Katherine Helmond, John Ratzenberger, Joe Ranft, Michael Keaton, Richard Petty, Jeremy Piven, Bob Costas","August 4, 2006 (India)",United States,"English, Italian, Japanese, Yiddish","$120,000,000 (estimated)","$461,996,328",1 hour 56 minutes
